Rank,Title,Artist,Album
63,청혼하지 않을 이유를 못 찾았어,이무진 & 이무진,청혼하지 않을 이유를 못 찾았어
64,너의 모든 순간,성시경 & 성시경,별에서 온 그대 OST Part.7
65,Supersonic,프로미스나인 & 프로미스나인,Supersonic
66,How Sweet,NewJeans & NewJeans,How Sweet
67,주저하는 연인들을 위해,잔나비 & 잔나비,전설
68,Love wins all,아이유 & 아이유,The Winning
69,슬픈 초대장,순순희(지환) & 순순희(지환),슬픈 초대장
70,Seven (feat. Latto) - Clean Ver.,정국 & 정국,Seven (feat. Latto) - Clean Ver.
71,PO￦ER,G-DRAGON & G-DRAGON,PO￦ER
72,사랑인가 봐,멜로망스 & 멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
73,UP (KARINA Solo),aespa & aespa,SYNK : PARALLEL LINE - Special Digital Single
74,이제 나만 믿어요,임영웅 & 임영웅,내일은 미스터트롯 우승자 특전곡
75,비의 랩소디,임재현 & 임재현,비의 랩소디
76,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴 & 폴킴,'키스 먼저 할까요?' OST Part.3
77,다정히 내 이름을 부르면,경서예지 & 전건호 & 경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
78,I DO ME,KiiiKiii (키키) & KiiiKiii (키키),UNCUT GEM
79,나는 아픈 건 딱 질색이니까,i-dle (아이들) & i-dle (아이들),2
80,네모의 꿈,아이유 & 아이유,꽃갈피 셋
81,에피소드,이무진 & 이무진,에피소드
82,헤어지자 말해요,박재정 & 박재정,1집 Alone
83,미치게 그리워서,황가람 & 황가람,미치게 그리워서
84,Pookie,FIFTY FIFTY & FIFTY FIFTY,Day & Night
85,인사,범진 & 범진,인사
86,모래 알갱이,임영웅 & 임영웅,모래 알갱이
87,Sticky,KISS OF LIFE & KISS OF LIFE,Sticky
88,THUNDER,세븐틴 (SEVENTEEN) & 세븐틴 (SEVENTEEN),SEVENTEEN 5th Album ‘HAPPY BURSTDAY’
89,한번 더 이별,이창섭 & 이창섭,한번 더 이별 (첫사랑 엔딩 X 이창섭)
90,Dash,PLAVE & PLAVE,Caligo Pt.1
91,봄날,방탄소년단 & 방탄소년단,YOU NEVER WALK ALONE
92,온기,임영웅 & 임영웅,온기
93,그날이 오면,투모로우바이투게더 & 투모로우바이투게더,언젠가는 슬기로울 전공의생활 OST Part 9
94,What It Sounds Like,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast & HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film)
95,"무제(無題) (Untitled, 2014)",G-DRAGON & G-DRAGON,권지용
96,Takedown,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast & HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film)
97,Fly Up,RIIZE & RIIZE,ODYSSEY - The 1st Album
98,Home,임영웅 & 임영웅,온기
99,사막에서 꽃을 피우듯,우디 (Woody) & 우디 (Woody),사막에서 꽃을 피우듯
100,Small girl (feat. 도경수(D.O.)),이영지 & 이영지,16 Fantasy
